Id,Label,timeset,latitude,longitude,comuna
53,BELGO CHILENA,,-33453930,70687752,ESTACION CENTRAL
54,CARRERA,,-33471008,70692411,ESTACION CENTRAL
55,CRUZ VERDE,,-33451139,70679883,ESTACION CENTRAL
56,CRUZ VERDE,,-33453339,70687819,ESTACION CENTRAL
57,CRUZ VERDE,,-33467564,70729965,ESTACION CENTRAL
58,CRUZ VERDE,,-33453006,70680365,ESTACION CENTRAL
59,DEL DR. SIMI,,-33454199,70692347,ESTACION CENTRAL
60,ELENA,,-33465727,70708569,ESTACION CENTRAL
61,PURA SALUD,,-33461825,70698417,ESTACION CENTRAL
62,SALCOBRAND,,-33450755,70679185,ESTACION CENTRAL
63,SALCOBRAND,,-33451979,70682283,ESTACION CENTRAL
64,SALCOBRAND,,-33453151,70687245,ESTACION CENTRAL
65,SALCOBRAND,,-33453167,7068039,ESTACION CENTRAL
66,SALCOBRAND,,-33451101,70679644,ESTACION CENTRAL
67,SALCOBRAND,,-33368062,70678301,HUECHURABA
68,SALCOBRAND,,-33368062,70678301,HUECHURABA
69,AHUMADA,,-33368062,70678301,HUECHURABA
70,AHUMADA,,-33351179,70670396,HUECHURABA
71,CRUZ VERDE,,-3336799,70678378,HUECHURABA
72,CRUZ VERDE,,-33347738,70670353,HUECHURABA
73,FARMAVIDA,,-33376326,70637787,HUECHURABA
74,SALCOBRAND,,-33348222,70670417,HUECHURABA
75,MEDDICA,,-3341751,70656496,INDEPENDENCIA
76,CRUZ VERDE,,-33406802,70660646,INDEPENDENCIA
77,CRUZ VERDE,,-33419606,70663331,INDEPENDENCIA
78,CRUZ VERDE,,-33420034,70655933,INDEPENDENCIA
79,MAESTRE,,-33414275,70678147,INDEPENDENCIA
80,NOVOA,,-33408777,70671801,INDEPENDENCIA
81,SANTA LAURA,,-33405615,70660912,INDEPENDENCIA
82,VALLE DE VIDA,,-33407093,70660249,INDEPENDENCIA
83,ECUANASER,,-33745037,70864777,ISLA DE MAIPO
84,ECUANASER,,-33754429,70900940,ISLA DE MAIPO
85,FARMAMARKET,,-33756367,70896568,ISLA DE MAIPO
86,SALCOBRAND,,-33538005,70664369,LA CISTERNA
87,AHUMADA,,-33538335,70663864,LA CISTERNA
88,AHUMADA,,-3352358,70660504,LA CISTERNA
89,BELEN,,-335358487,7066409249999990,LA CISTERNA
90,CRUZ VERDE,,-33538403,70664446,LA CISTERNA
91,DEL DR. SIMI,,-335378,70663723,LA CISTERNA
92,DEL DR. SIMI,,-33527418,70661756,LA CISTERNA
93,MARTINEZ  ACUNA,,-3354348,70666708,LA CISTERNA
94,SALCOBRAND,,-33518528,70659275,LA CISTERNA
95,MANRIQUEZ,,-33523955,70660611,LA CISTERNA
96,SALCOBRAND,,-33538229,70664881,LA CISTERNA
97,AHUMADA,,-33511522,70590659,LA FLORIDA
98,AHUMADA,,-3351988985915590,7059560333596800,LA FLORIDA
99,AHUMADA,,-33516006,705976,LA FLORIDA
100,AHUMADA,,-33543243,70570288,LA FLORIDA
101,AHUMADA,,-33535917,70555482,LA FLORIDA
102,AHUMADA,,-33545723,70569232,LA FLORIDA
103,AHUMADA,,-33510377,70608662,LA FLORIDA
104,AHUMADA,,-33511162,70608098,LA FLORIDA
105,AHUMADA,,-33515655,70606581,LA FLORIDA
106,AHUMADA,,-33535135,70593341,LA FLORIDA
107,AHUMADA,,-33543827,7058935,LA FLORIDA
108,AHUMADA,,-33519608,70602804,LA FLORIDA
109,AHUMADA,,-33522524,70579158,LA FLORIDA
110,BELEN,,-33522497,70574622,LA FLORIDA
111,C.A.,,-33539579,70603521,LA FLORIDA
112,CRUZ VERDE,,-33522077,70597461,LA FLORIDA
113,CRUZ VERDE,,-33539606,70583173,LA FLORIDA
114,CRUZ VERDE,,-33539997,70571672,LA FLORIDA
115,CRUZ VERDE,,-3355396,70602718,LA FLORIDA
116,CRUZ VERDE,,-33534741,70554336,LA FLORIDA
117,CRUZ VERDE,,-33526927,70596404,LA FLORIDA
118,CRUZ VERDE,,-33553512,70586767,LA FLORIDA
119,CRUZ VERDE,,-33510715,70608632,LA FLORIDA
120,CRUZ VERDE,,-3351926,70600275,LA FLORIDA
121,CRUZ VERDE,,-3351926,70600275,LA FLORIDA
122,CRUZ VERDE,,-33546543,70588089,LA FLORIDA
123,CRUZ VERDE,,-33510449,70608448,LA FLORIDA
124,CRUZ VERDE,,-33522345,70579265,LA FLORIDA
125,DEL DR. SIMI,,-33521946,70579651,LA FLORIDA
126,FARMA SUR,,-33560976,70610744,LA FLORIDA
127,JUMBO,,-33511162,70608098,LA FLORIDA
128,REDFARMA,,-33518724,70600416,LA FLORIDA
129,REY FARMA,,-33557606,7059041,LA FLORIDA
130,ROSARIO,,-33535457,70603641,LA FLORIDA
131,ROTONDA  LA FLORIDA,,-33520682,70600015,LA FLORIDA
132,SU FARMA,,-33559242,7055976,LA FLORIDA
133,SALCOBRAND,,-33547833,70568365,LA FLORIDA
134,SALCOBRAND,,-33535564,70573944,LA FLORIDA
135,SALCOBRAND,,-33560726,70585402,LA FLORIDA
136,SALCOBRAND,,-33510688,70608514,LA FLORIDA
137,SALCOBRAND,,-33514212,70608076,LA FLORIDA
138,SALCOBRAND,,-33539481,7059156,LA FLORIDA
139,CRUZ VERDE,,-33550386,70617838,LA GRANJA
140,LOS PALTOS,,-33549518,70625259,LA GRANJA
141,LOS PALTOS,,-33555958,70623943,LA GRANJA
142,ESPOZ,,-33541513,70634116,LA GRANJA
143,CORDILLERA,,-33556595,70645634,LA PINTANA
144,CRUZ VERDE,,-33605702,70626815,LA PINTANA
145,FARMA SUR,,-33581962,70657895,LA PINTANA
146,SUR,,-33556434,70645119,LA PINTANA
147,SALCOBRAND,,-33582752,70631836,LA PINTANA
148,AHUMADA,,-33428451,70540534,LA REINA
149,AHUMADA,,-33462165,70547272,LA REINA
150,AHUMADA,,-33430313,70555769,LA REINA
151,AHUMADA,,-33438801,70557014,LA REINA
152,AHUMADA,,-33452498,70561026,LA REINA
153,LA REINA,,-33451793,70555594,LA REINA
154,SALCOBRAND,,-33438685,70560922,LA REINA
155,SALCOBRAND,,-33441254,70535856,LA REINA
156,AHUMADA,,-3344052,70543281,LA REINA
157,CRUZ VERDE,,-33441344,70536114,LA REINA
158,CRUZ VERDE,,-33356144,7051721,LO BARNECHEA
159,SALCOBRAND,,-33452677,7056197,LA REINA
160,SALCOBRAND,,-33438908,70557142,LA REINA
161,SALCOBRAND,,-33441182,70543302,LA REINA
162,BELEN,,-33231773,70807404,LAMPA
163,BELEN,,-33287867,70871476,LAMPA
164,LETICIA,,-33284891,70877341,LAMPA
165,SU FARMACIA S.A.,,-33294326,70867519,LAMPA
166,SALCOBRAND,,-33324002,70745991,LAMPA
167,SALCOBRAND,,-33425986,70577036,LAS CONDES
168,SALCOBRAND,,-33416492,70595146,LAS CONDES
169,SALCOBRAND,,-3341278,70581016,LAS CONDES
170,SALCOBRAND,,-33410738,70573879,LAS CONDES
171,SALCOBRAND,,-33409386,70569378,LAS CONDES
172,SALCOBRAND,,-33423788,70580627,LAS CONDES
173,SALCOBRAND,,-33416613,70565058,LAS CONDES
174,SALCOBRAND,,-33418207,70552336,LAS CONDES
175,SALCOBRAND,,-33416469,70554331,LAS CONDES
176,AHUMADA,,-33384242,70533968,LAS CONDES
177,AHUMADA,,-33395619,70549053,LAS CONDES
178,AHUMADA,,-33401531,7056049,LAS CONDES
179,AHUMADA,,-33386052,70531178,LAS CONDES
180,AHUMADA,,-33424932,70550758,LAS CONDES
181,AHUMADA,,-33400958,70514375,LAS CONDES
182,AHUMADA,,-33401253,70517153,LAS CONDES
183,AHUMADA,,-33401145,70514333,LAS CONDES
184,AHUMADA,,-3341878,70572098,LAS CONDES
185,AHUMADA,,-33376502,70525642,LAS CONDES
186,CRUZ VERDE,,-33423851,70578522,LAS CONDES
187,CRUZ VERDE,,-33416089,70593258,LAS CONDES
188,CRUZ VERDE,,-33409177,70567914,LAS CONDES
189,CRUZ VERDE,,-33408266,70553483,LAS CONDES
190,CRUZ VERDE,,-33401262,70523223,LAS CONDES
191,CRUZ VERDE,,-3341668,70564999,LAS CONDES
192,CRUZ VERDE,,-3343126,70578745,LAS CONDES
193,CRUZ VERDE,,-33428769,70540587,LAS CONDES
194,CRUZ VERDE,,-33384402,70529446,LAS CONDES
195,CRUZ VERDE,,-33417584,70552786,LAS CONDES
196,CRUZ VERDE,,-33401473,70560305,LAS CONDES
197,CRUZ VERDE,,-33401871,70580534,LAS CONDES
198,CRUZ VERDE,,-33388784,70545276,LAS CONDES
199,CRUZ VERDE,,-33388784,70545276,LAS CONDES
200,CRUZ VERDE,,-33388793,70545233,LAS CONDES
201,DEL DR. SIMI,,-33413942,70583546,LAS CONDES
202,LA DEHESA,,-33351513,70510453,LO BARNECHEA
203,SALCOBRAND,,-33423777,70538633,LAS CONDES
204,SALCOBRAND,,-33431271,70578737,LAS CONDES
205,SALCOBRAND,,-33428728,70540595,LAS CONDES
206,SALCOBRAND,,-33390101,7049899,LAS CONDES
207,SALCOBRAND,,-33373666,70519669,LAS CONDES
208,SALCOBRAND,,-33367972,70500964,LAS CONDES
209,SALCOBRAND,,-33398228,70551397,LAS CONDES
210,SALCOBRAND,,-33392287,70514933,LAS CONDES
211,SALCOBRAND,,-33405257,70568665,LAS CONDES
212,SALCOBRAND,,-3340377,70569,LAS CONDES
213,SALCOBRAND,,-334245,70592566,LAS CONDES
214,SALCOBRAND,,-3341604,70539075,LAS CONDES
215,SALCOBRAND,,-33409332,70544350,LAS CONDES
216,SALCOBRAND,,-3338882,70545284,LAS CONDES
217,SALCOBRAND,,-33408472,70551813,LAS CONDES
218,SALCOBRAND,,-33394043,70545963,LAS CONDES
219,SALCOBRAND,,-33358348,70517145,LO BARNECHEA
220,AHUMADA,,-33344178,70544609,LO BARNECHEA
221,AHUMADA,,-33353025,70520621,LO BARNECHEA
222,AHUMADA,,-33362883,70514956,LO BARNECHEA
223,CRUZ VERDE,,-33355517,70537916,LO BARNECHEA
224,CRUZ VERDE,,-33358008,70517016,LO BARNECHEA
225,VITA,,-33357631,70506598,LO BARNECHEA
226,SALCOBRAND,,-3335221,70518806,LO BARNECHEA
227,SALCOBRAND,,-33351484,70510665,LO BARNECHEA
228,SALCOBRAND,,-33355194,70532187,LO BARNECHEA
229,FARMAR,,-33506327,7069199,LO ESPEJO
230,LA FE,,-33519716,7069593,LO ESPEJO
231,L-V,,-33508946,70686296,LO ESPEJO
232,AHUMADA,,-33444907,70723416,LO PRADO
233,CRUZ VERDE,,-33457708,70711831,LO PRADO
234,CRUZ VERDE,,-33456902,70705629,LO PRADO
235,LAS ROSAS,,-3345717,70705887,LO PRADO
236,SALCOBRAND,,-33457153,70706123,LO PRADO
237,SALCOBRAND,,-33444083,70722624,LO PRADO
238,SALCOBRAND,,-33485628,70599306,MACUL
239,AHUMADA,,-33474337,70598792,MACUL
240,AHUMADA,,-33477933,70599040,MACUL
241,AHUMADA,,-33491661,70617414,MACUL
242,CRUZ VERDE,,-33480686,70599312,MACUL
243,CRUZ VERDE,,-33491518,70599723,MACUL
244,DEL DR. SIMI,,-33485057,70599336,MACUL
245,SALCOBRAND,,-33510502,70757643,MAIPU
246,SALCOBRAND,,-33481847,70753649,MAIPU
247,SALCOBRAND,,-33481149,70754035,MAIPU
248,SALCOBRAND,,-33542137,70771024,MAIPU
249,AHUMADA,,-33560708,70780705,MAIPU
250,AHUMADA,,-33481847,70753649,MAIPU
251,AHUMADA,,-33510738,70757381,MAIPU
252,AHUMADA,,-3350288,70757278,MAIPU
253,AHUMADA,,-33481442,70745228,MAIPU
254,AHUMADA,,-33506046,70757480,MAIPU
255,AHUMADA,,-33531558,70775088,MAIPU
256,ALMENDRA,,-33489442,70774272,MAIPU
257,BELEN,,-33507479,70784079,MAIPU
258,BELEN,,-33488435,70742558,MAIPU
259,APOTHEKE,,-3351232,70775493,MAIPU
260,CRUZ VERDE,,-33559993,707844,MAIPU
261,CRUZ VERDE,,-33531915,70775603,MAIPU
262,CRUZ VERDE,,-33481847,70753649,MAIPU
263,CRUZ VERDE,,-33480565,70754106,MAIPU
264,CRUZ VERDE,,-33471974,70759642,MAIPU
265,CRUZ VERDE,,-33513669,70826522,MAIPU
266,CRUZ VERDE,,-33496314,70757549,MAIPU
267,CRUZ VERDE,,-33506799,70757471,MAIPU
268,CRUZ VERDE,,-33554432,70795816,MAIPU
269,CRUZ VERDE,,-334398441,7.05556596e+15,LA REINA
270,DEL PARQUE,,-33558795,70789529,MAIPU
271,ECONOFARMA,,-33489639,70766376,MAIPU
272,EXPRESS,,-33528159,70767318,MAIPU
273,MEBAL,,-33510064,70775509,MAIPU
274,MEVIC,,-3352235,70796797,MAIPU
275,MEVIC,,-33542754,70777843,MAIPU
276,VIDA SALUD,,-33513329,70756999,MAIPU
277,SU FARMACIA,,-33501216,70741035,MAIPU
278,NETFARMA,,-33495531,70736547,MAIPU
279,AHUMADA,,-3368064,71208747,MELIPILLA
280,CRUZ VERDE,,-33686111,71214668,MELIPILLA
281,CRUZ VERDE,,-33684917,71213814,MELIPILLA
282,EKONOFARMA,,-33685574,71215179,MELIPILLA
283,REDONDO,,-33690830,71215614,MELIPILLA
284,SERRANO,,-33691460,71215843,MELIPILLA
285,SALCOBRAND,,-33686211,71213768,MELIPILLA
286,SALCOBRAND,,-33686588,71215347,MELIPILLA
287,AHUMADA,,-33450135,70621558,NUNOA
288,AHUMADA,,-33465888,70588277,NUNOA
289,SALCOBRAND,,-33446473,70611272,NUNOA
290,SALCOBRAND,,-33455188,70609099,NUNOA
291,SALCOBRAND,,-33449477,70597856,NUNOA
292,SALCOBRAND,,-33455452,70586945,NUNOA
293,SALCOBRAND,,-33456271,70613901,NUNOA
294,SALCOBRAND,,-33464984,70598226,NUNOA
295,AHUMADA,,-33455027,7060908,NUNOA
296,AHUMADA,,-33455309,70627108,NUNOA
297,AHUMADA,,-33454507,70600608,NUNOA
298,AHUMADA,,-33445605,70606138,NUNOA
299,AHUMADA,,-33448273,70580555,NUNOA
300,AHUMADA,,-33447789,70597547,NUNOA
301,CRUZ VERDE,,-33448329,70610647,NUNOA
302,CRUZ VERDE,,-33448564,70580705,NUNOA
303,CRUZ VERDE,,-33455765,70626106,NUNOA
304,CRUZ VERDE,,-33453053,70615452,NUNOA
305,CRUZ VERDE,,-33454342,70602297,NUNOA
306,CRUZ VERDE,,-33455219,70593017,NUNOA
307,CRUZ VERDE,,-33454494,70579021,NUNOA
308,CRUZ VERDE,,-33465302,70598239,NUNOA
309,CRUZ VERDE,,-3345816,70598017,NUNOA
310,CRUZ VERDE,,-33442758,70572611,NUNOA
311,CRUZ VERDE,,-33445565,70606112,NUNOA
312,CRUZ VERDE,,-33455649,70605221,NUNOA
313,CRUZ VERDE,,-33434033,70582342,NUNOA
314,INSTITUCIONAL,,-33453256,70591758,NUNOA
315,REDOXX,,-33462935,70620185,NUNOA
316,SALCOBRAND,,-33454772,70627526,NUNOA
317,SANTA  GEMITA,,-33454762,70599854,NUNOA
318,SALCOBRAND,,-33448165,70600672,NUNOA
319,SAN JUAN,,-33569701,70815772,PADRE HURTADO
320,FARMAMARKET,,-33568003,70808887,PADRE HURTADO
321,CRUZ VERDE,,-33813498,70743019,PAINE
322,PLAZA PAINE,,-33809498,70738717,PAINE
323,CRUZ VERDE,,-33478816,70663113,PEDRO AGUIRRE CERDA
324,CRUZ VERDE,,-33502505,70667851,PEDRO AGUIRRE CERDA
325,IDAHUE,,-33478489,70672005,PEDRO AGUIRRE CERDA
326,LA BOTIKA,,-33502397,70690115,PEDRO AGUIRRE CERDA
327,FARMA-MARKET,,-33610554,70873439,PENAFLOR
328,AHUMADA,,-33607203,70899843,PENAFLOR
329,CRUZ VERDE,,-33606915,70854744,PENAFLOR
330,CRUZ VERDE,,-3361071,70880887,PENAFLOR
331,CRUZ VERDE,,-3360872,70900199,PENAFLOR
332,CRUZ VERDE,,-33607217,70899797,PENAFLOR
333,MALLOCO,,-33604735,70852638,PENAFLOR
334,SAN JUAN,,-33609133,70900701,PENAFLOR
335,SALCOBRAND,,-33479232,70545225,PENALOLEN
336,SALCOBRAND,,-33468936,70575921,PENALOLEN
337,SALCOBRAND,,-33486668,70579823,PENALOLEN
338,AHUMADA,,-33484731,70579397,PENALOLEN
339,AHUMADA,,-33487957,7054916,PENALOLEN
340,AHUMADA,,-33486444,70557757,PENALOLEN
341,AHUMADA,,-33484198,70558365,PENALOLEN
342,BELEN,,-33506258,70579184,PENALOLEN
343,CRUZ VERDE,,-33485825,70579606,PENALOLEN
344,CRUZ VERDE,,-33475988,7054338,PENALOLEN
345,CRUZ VERDE,,-334864,70557735,PENALOLEN
346,CRUZ VERDE,,-33486668,70579823,PENALOLEN
347,CRUZ VERDE,,-33472261,7055461,PENALOLEN
348,CRUZ VERDE,,-33483805,70547014,PENALOLEN
349,DEL DR. SIMI,,-334714531,7054151389999990,PENALOLEN
350,DEL DR. SIMI,,-33469629,70574566,PENALOLEN
351,DEL DR. SIMI,,-33502822,70561093,PENALOLEN
352,EL VALLE,,-33476053,70573552,PENALOLEN
353,MEDDICA,,-33472427,70538437,PENALOLEN
354,GENNETIKA,,-33472340,70538712,PENALOLEN
355,GALLARDO,,-33477724,70572401,PENALOLEN
356,LA BOTIKA,,-33507497,70568472,PENALOLEN
357,SALCOBRAND,,-33487541,70558636,PENALOLEN
358,SALCOBRAND,,-33489299,70549871,PENALOLEN
359,SALCOBRAND,,-33634483,70570314,PIRQUE
360,SALCOBRAND,,-33429187,7061886,PROVIDENCIA
361,SALCOBRAND,,-33417618,70608246,PROVIDENCIA
362,SALCOBRAND,,-33430206,7060277,PROVIDENCIA
363,SALCOBRAND,,-33438335,70615679,PROVIDENCIA
364,AHUMADA,,-33417669,70608276,PROVIDENCIA
365,AHUMADA,,-33436607,70599068,PROVIDENCIA
366,AHUMADA,,-33431701,70583823,PROVIDENCIA
367,AHUMADA,,-33429951,70602705,PROVIDENCIA
368,AHUMADA,,-3343953833448410,7060791102645870,PROVIDENCIA
369,AHUMADA,,-33422532,70611052,PROVIDENCIA
370,AHUMADA,,-33440999,70630386,PROVIDENCIA
371,CARMEN,,-33439826,70624619,PROVIDENCIA
372,CRUZ VERDE,,-33417669,70608274,PROVIDENCIA
373,CRUZ VERDE,,-33431983,7062928,PROVIDENCIA
374,CRUZ VERDE,,-33433335,70617624,PROVIDENCIA
375,CRUZ VERDE,,-33437794,70604202,PROVIDENCIA
376,CRUZ VERDE,,-33422469,70609555,PROVIDENCIA
377,CRUZ VERDE,,-33445095,70619839,PROVIDENCIA
378,LIDO,,-3342803,70593875,PROVIDENCIA
379,ROESAR,,-33432565,70635905,PROVIDENCIA
380,SALCOBRAND,,-33426402,70615652,PROVIDENCIA
381,SALCOBRAND,,-3342306,70611816,PROVIDENCIA
382,SALCOBRAND,,-33437816,70603767,PROVIDENCIA
383,FARMA UNO,,-33432032,70752579,PUDAHUEL
384,AHUMADA,,-33449343,70848439,PUDAHUEL
385,AHUMADA,,-33467965,70731704,PUDAHUEL
386,AHUMADA,,-33454986,70738717,PUDAHUEL
387,AHUMADA,,-33457511,70823418,PUDAHUEL
388,BELEN,,-33462165,70737344,PUDAHUEL
389,CRUZ VERDE,,-33396873,70791846,PUDAHUEL
390,CRUZ VERDE,,-33453321,70763032,PUDAHUEL
391,EMIFAR,,-33436491,70750583,PUDAHUEL
392,LAISA,,-33459909,70761441,PUDAHUEL
393,FARMA OFERTA,,-33439105,70758029,PUDAHUEL
394,CRUZ VERDE,,-33444607,70740637,PUDAHUEL
395,SAN PIO,,-33437548,7077114,PUDAHUEL
396,TIERRA DEL FUEGO,,-3343214,70750476,PUDAHUEL
397,TORRES,,-33460071,70751806,PUDAHUEL
398,LAS PRINCESAS,,-3344197,70763715,PUDAHUEL
399,SALCOBRAND,,-33557954,70559352,PUENTE ALTO
400,SALCOBRAND,,-33568989,70554782,PUENTE ALTO
401,SALCOBRAND,,-33569053,70554921,PUENTE ALTO
402,SALCOBRAND,,-33572973,70582806,PUENTE ALTO
403,LA BOTIKA,,-33582367,70601532,PUENTE ALTO
404,LOS TOROS,,-33567925,70570904,PUENTE ALTO
405,AHUMADA,,-33598678,70577779,PUENTE ALTO
406,AHUMADA,,-33598678,70577779,PUENTE ALTO
407,AHUMADA,,-33612042,70575437,PUENTE ALTO
408,AHUMADA,,-33566537,70556883,PUENTE ALTO
409,ANGEL,,-33618122,70574144,PUENTE ALTO
410,ARES,,-33568443,70583565,PUENTE ALTO
411,CARMEN,,-33609991,70551392,PUENTE ALTO
412,CATALINA,,-33576334,70566777,PUENTE ALTO
413,CRUZ VERDE,,-33571355,70555026,PUENTE ALTO
414,CRUZ VERDE,,-33569029,70554929,PUENTE ALTO
415,CRUZ VERDE,,-33609906,70575866,PUENTE ALTO
416,CRUZ VERDE,,-33572383,70583299,PUENTE ALTO
417,CRUZ VERDE,,-33569366,70583538,PUENTE ALTO
418,CRUZ VERDE,,-33608347,70576046,PUENTE ALTO
419,CRUZ VERDE,,-33559537,70551508,PUENTE ALTO
420,CRUZ VERDE,,-33609517,70575524,PUENTE ALTO
421,CRUZ VERDE,,-33581626,70568794,PUENTE ALTO
422,CRUZ VERDE,,-33611657,70577084,PUENTE ALTO
423,J M,,-33608356,70528214,PUENTE ALTO
424,DEL DR. SIMI,,-33574457,70555361,PUENTE ALTO
425,FULLFARMA,,-33589942,7058568,PUENTE ALTO
426,SALUD FARMA,,-33580998,7058118,PUENTE ALTO
427,LOS PALTOS,,-33582317,7.06010208e+15,PUENTE ALTO
428,MEDDICA,,-33594228,70559138,PUENTE ALTO
429,PATRICIO,,-33611894,70551872,PUENTE ALTO
430,PATRICIO,,-33625231,70609237,PUENTE ALTO
431,DONDE'L LORITO,,-33582199,70606087,PUENTE ALTO
432,SALCOBRAND,,-33609616,70575918,PUENTE ALTO
433,SALCOBRAND,,-33595224,70590104,PUENTE ALTO
434,SALCOBRAND,,-33366789,70720092,QUILICURA
435,AHUMADA,,-3335618,70729107,QUILICURA
436,AHUMADA,,-3338230576855990,7073004488985740,QUILICURA
437,BELEN,,-33366843,70713917,QUILICURA
438,BELEN,,-33367224,70734052,QUILICURA
439,CRUZ VERDE,,-33365681,70728849,QUILICURA
440,CRUZ VERDE,,-33355561,70729102,QUILICURA
441,NUEVA REAL,,-33358277,70729319,QUILICURA
442,SCANDIC,,-33361861,70744786,QUILICURA
443,SALCOBRAND,,-33367883,70732212,QUILICURA
444,AHUMADA,,-33432722,70680556,QUINTA NORMAL
445,CRUZ VERDE,,-33430501,70692356,QUINTA NORMAL
446,EMIFAR,,-33416474,70711044,QUINTA NORMAL
447,MACARENA,,-3342251,70713359,QUINTA NORMAL
448,MENDOZA,,-33423105,7069258,QUINTA NORMAL
449,MEVIC,,-33428854,70715467,QUINTA NORMAL
450,MYPHARMA,,-33441632,70707257,QUINTA NORMAL
451,AHUMADA,,-33405714,70643169,RECOLETA
452,AHUMADA,,-33393881,70642527,RECOLETA
453,B P M,,-33391151,70641205,RECOLETA
454,CRUZ DEL NORTE,,-33388507,70642304,RECOLETA
455,FARMARKET,,-33403864,70631957,RECOLETA
456,CRUZ VERDE,,-33402695,70643003,RECOLETA
457,CRUZ VERDE,,-33429534,70647091,RECOLETA
458,MARSIL,,-33431213,70651344,RECOLETA
459,EL SALTO,,-33410583,70636818,RECOLETA
460,AHUMADA,,-33405203,70704613,RENCA
461,CRUZ VERDE,,-33406582,70700875,RENCA
462,CRUZ VERDE,,-33405687,70704351,RENCA
463,MEDDICA,,-33400438,70744682,RENCA
464,DONDE'L LORITO,,-33409302,70746696,RENCA
465,SALCOBRAND,,-33404343,70705514,RENCA
466,SALCOBRAND,,-33592758,70704956,SAN BERNARDO
467,SALCOBRAND,,-33593692,70705686,SAN BERNARDO
468,SALCOBRAND,,-33594272,70705896,SAN BERNARDO
469,SALCOBRAND,,-33630736,70707929,SAN BERNARDO
470,SALCOBRAND,,-33630736,70707929,SAN BERNARDO
471,AHUMADA,,-33592704,7070516,SAN BERNARDO
472,AHUMADA,,-33597239,70699727,SAN BERNARDO
473,BELEN,,-33587471,70678018,SAN BERNARDO
474,CRUZ VERDE,,-33592720,70705239,SAN BERNARDO
475,CRUZ VERDE,,-33590117,70704405,SAN BERNARDO
476,CRUZ VERDE,,-33593808,70705735,SAN BERNARDO
477,CRUZ VERDE,,-33630736,70707929,SAN BERNARDO
478,CRUZ VERDE,,-335916,70704514,SAN BERNARDO
479,LOS ALMENDROS,,-33592994,70697068,SAN BERNARDO
480,LOS OLIVOS,,-33579037,70694487,SAN BERNARDO
481,LA BOTIKA,,-33517887,70629028,SAN JOAQUIN
482,DAMYFAR,,-3349175,70617843,SAN JOAQUIN
483,DEL DR. SIMI,,-33506374,70638138,SAN JOAQUIN
484,FARMAVIDA,,-33505712,70623572,SAN JOAQUIN
